,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
380,59 20 24,1.6231459304732327,1.6389704436939523,2.6313611315209053,O Si O,107.53733736642957
384,17 27 15,1.610149291118983,1.6064125928938624,2.538700610482775,O Si O,104.23258656417356
385,118 27 15,1.5961855720603266,1.6064125928938624,2.721432625096626,O Si O,116.37029991367237
386,132 27 15,1.6005432192561875,1.6064125928938624,2.5660410549329935,O Si O,106.28843719745177
388,118 27 17,1.5961855720603266,1.610149291118983,2.654605521490587,O Si O,111.77165364010158
389,132 27 17,1.6005432192561875,1.610149291118983,2.571584976591895,O Si O,106.44030604653801
392,132 27 118,1.6005432192561875,1.5961855720603266,2.635040869863117,O Si O,111.03366355765527
396,14 28 4,1.6006945178804421,1.6362821730183703,2.6532226456051076,O Si O,110.09684935287338
397,34 28 4,1.6141571041658982,1.6362821730183703,2.6043550277475807,O Si O,106.49378486167109
398,46 28 4,1.6174242407995576,1.6362821730183703,2.726887226051112,O Si O,113.87594850286256
400,34 28 14,1.6141571041658982,1.6006945178804421,2.617985768893484,O Si O,109.04380831993244
401,46 28 14,1.6174242407995576,1.6006945178804421,2.578054945688908,O Si O,106.47058019537904
404,46 28 34,1.6174242407995576,1.6141571041658982,2.6603460702206996,O Si O,110.81956635832911
408,25 29 19,1.6090200188060872,1.6104706883079898,2.5944523993665296,O Si O,107.3863919763101
409,44 29 19,1.637794439811736,1.6104706883079898,2.6334282101644777,O Si O,108.32942743570551
410,134 29 19,1.59085659594996,1.6104706883079898,2.647471945491949,O Si O,111.5804754195192
412,44 29 25,1.637794439811736,1.6090200188060872,2.622464231404252,O Si O,107.74108489660334
413,134 29 25,1.59085659594996,1.6090200188060872,2.5159497226405176,O Si O,103.67413020822522
416,134 29 44,1.59085659594996,1.637794439811736,2.761047011274162,O Si O,117.54980322500775
420,30 35 24,1.5918879602047165,1.6198082812881927,2.5182821029672957,O Si O,103.27109102372033
421,36 35 24,1.5974202107404134,1.6198082812881927,2.6826253608758748,O Si O,112.98681486632296
